0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
20,21,21,10,11,11,11,11,11,11,11,11,12,21,21,22
20,21,21,30,31,31,31,31,31,31,31,31,32,21,21,22
20,21,21,30,31,31,31,31,31,31,31,31,32,21,21,22
20,21,21,50,51,51,51,51,51,51,51,51,52,21,21,22
20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42
